,BulkSampleID,ArchiveSampleID,Robot Sample ID,Library ID,FastQ File ID,DepthSampledCalTape
0,ISL22_18,LV3005272613,LV7005365952,LV7008955290,LV7008955290-LV7005365952-LV3005272613,116.5
1,ISL22_18,LV3005272654,LV7005365960,LV7008955302,LV7008955302-LV7005365960-LV3005272654,122
2,GELD_3.1,LV3005272941,LV7005365949,LV7008955268,LV7008955268-LV7005365949-LV3005272941,115.5
3,GELD_4.2,LV3005272947,LV7005365957,LV7008955280,LV7008955280-LV7005365957-LV3005272947,118
4,ISL21_12_1,LV3005272493,LV6000198586,LV7008955346,LV7008955346-LV6000198586-LV3005272493,100
5,ISL21_11,LV3005273615,LV6000197537,LV7008955322,LV7008955322-LV6000197537-LV3005273615,106
6,ISL21_14B,LV3005272365,LV6000198585,LV7008955262,LV7008955262-LV6000198585-LV3005272365,110.5
7,ISL22_20.3B,LV3005273006,LV6000198906,,,380.5
8,ISL22_20.3B,LV3005273006,LV6000198906,LV7008961027,LV7008961027-LV6000198906-LV3005273006,380.5
9,ISL22_20.3B,LV3005273024,LV6000198914,,,384
10,ISL22_20.3B,LV3005273024,LV6000198914,LV7008961039,LV7008961039-LV6000198914-LV3005273024,384
11,ISL22_20.3B,LV3005273032,LV6000198875,,,387
12,ISL22_20.3B,LV3005273032,LV6000198875,LV7008961051,LV7008961051-LV6000198875-LV3005273032,387
13,ISL22_20.3B,LV3005273005,LV6000198883,,,390.5
14,ISL22_20.3B,LV3005273005,LV6000198883,LV7008961063,LV7008961063-LV6000198883-LV3005273005,390.5
15,ISL22_20.3B,LV3005273031,LV6000198891,,,393.5
16,ISL22_20.3B,LV3005273031,LV6000198891,LV7008961075,LV7008961075-LV6000198891-LV3005273031,393.5
17,ISL22_20.3B,LV3005273014,LV6000198899,,,396.5
18,ISL22_20.3B,LV3005273014,LV6000198899,LV7008961087,LV7008961087-LV6000198899-LV3005273014,396.5
19,ISL22_20.3B,LV3005273019,LV6000198907,,,399.5
20,ISL22_20.3B,LV3005273019,LV6000198907,LV7008961002,LV7008961002-LV6000198907-LV3005273019,399.5
21,ISL22_20.6,LV3005273002,LV6000198915,,,402
22,ISL22_20.6,LV3005273002,LV6000198915,LV7008961014,LV7008961014-LV6000198915-LV3005273002,402
23,ISL22_20.6,LV3005273029,LV6000198876,,,405
24,ISL22_20.6,LV3005273029,LV6000198876,LV7008961026,LV7008961026-LV6000198876-LV3005273029,405
25,ISL22_20.6,LV3005273012,LV6000198884,,,408
26,ISL22_20.6,LV3005273012,LV6000198884,LV7008961038,LV7008961038-LV6000198884-LV3005273012,408
27,ISL22_20.6,LV3005274006,LV6000198892,,,414.5
28,ISL22_20.6,LV3005274006,LV6000198892,LV7008961050,LV7008961050-LV6000198892-LV3005274006,414.5
29,ISL22_20.6,LV3005274007,LV6000198900,,,421
30,ISL22_20.6,LV3005274007,LV6000198900,LV7008961062,LV7008961062-LV6000198900-LV3005274007,421
31,ISL22_20.6,LV3005274022,LV6000198908,,,427
32,ISL22_20.6,LV3005274022,LV6000198908,LV7008961074,LV7008961074-LV6000198908-LV3005274022,427
33,ISL22_20.6,LV3005274023,LV6000198916,,,433.5
34,ISL22_20.6,LV3005274023,LV6000198916,LV7008961086,LV7008961086-LV6000198916-LV3005274023,433.5
35,ISL22_20.6,LV3005274011,LV6000198877,,,440
36,ISL22_20.6,LV3005274011,LV6000198877,LV7008961001,LV7008961001-LV6000198877-LV3005274011,440
37,ISL22_20.6,LV3005274025,LV6000198885,,,446.5
38,ISL22_20.6,LV3005274025,LV6000198885,LV7008961013,LV7008961013-LV6000198885-LV3005274025,446.5
39,ISL21_15A,LV3005273889,LV6000198594,LV7008955370,LV7008955370-LV6000198594-LV3005273889,90
40,ISL22_24,LV3005274144,LV7005365950,LV7008955352,LV7008955352-LV7005365950-LV3005274144,66.5
41,ISL22_24,LV3005274125,LV7005365958,LV7008955376,LV7008955376-LV7005365958-LV3005274125,69
42,ISL22_27,LV3005274179,LV7005365964,LV7008955299,LV7008955299-LV7005365964-LV3005274179,76.5
43,ISL22_27,LV3005274193,LV7005365972,LV7008955323,LV7008955323-LV7005365972-LV3005274193,79
44,ISL22_48_1,LV3005274249,LV7005365969,LV7008955289,LV7008955289-LV7005365969-LV3005274249,95
45,ISL22_48_1,LV3005274246,LV7005365977,LV7008955301,LV7008955301-LV7005365977-LV3005274246,99.5
46,ISL21_13,LV3005273834,LV6000198609,LV7008955298,LV7008955298-LV6000198609-LV3005273834,145.5
47,ISL22_48.6,LV3005274765,LV6000200082,LV7008960459,LV7008960459-LV6000200082-LV3005274765,213.5
48,ISL22_48.6,LV3005274894,LV6000200121,LV7008960471,LV7008960471-LV6000200121-LV3005274894,216.5
49,ISL22_48.6,LV3005274910,LV6000200113,LV7008960483,LV7008960483-LV6000200113-LV3005274910,219.5
50,ISL22_48.6,LV3005274893,LV6000200105,LV7008960495,LV7008960495-LV6000200105-LV3005274893,222.5
51,ISL22_48.6,LV3005274908,LV6000200097,LV7008960507,LV7008960507-LV6000200097-LV3005274908,225.5
52,ISL22_48.6,LV3005274892,LV6000198777,LV7008960446,LV7008960446-LV6000198777-LV3005274892,228
53,ISL22_48.6,LV3005274892,LV6000198777,LV7008960446,LV7008960446-LV6000198777-LV3005274892,228
54,ISL22_48.6,LV3005274907,LV6000198663,LV7008960458,LV7008960458-LV6000198663-LV3005274907,231
55,ISL22_48.6,LV3005274907,LV6000198663,LV7008960458,LV7008960458-LV6000198663-LV3005274907,231
56,ISL22_48.6,LV3005274890,LV6000198793,LV7008960470,LV7008960470-LV6000198793-LV3005274890,234.5
57,ISL22_48.6,LV3005274890,LV6000198793,LV7008960470,LV7008960470-LV6000198793-LV3005274890,234.5
58,ISL22_48.6,LV3005274906,LV6000198801,LV7008960482,LV7008960482-LV6000198801-LV3005274906,237
59,ISL22_48.6,LV3005274906,LV6000198801,LV7008960482,LV7008960482-LV6000198801-LV3005274906,237
60,ISL22_48.6,LV3005274912,LV6000198809,LV7008960494,LV7008960494-LV6000198809-LV3005274912,240
61,ISL22_48.6,LV3005274912,LV6000198809,LV7008960494,LV7008960494-LV6000198809-LV3005274912,240
62,ISL22_48.6,LV3005274911,LV6000198671,LV7008960506,LV7008960506-LV6000198671-LV3005274911,243
63,ISL22_48.6,LV3005274911,LV6000198671,LV7008960506,LV7008960506-LV6000198671-LV3005274911,243
64,ISL22_48.6,LV3005274896,LV6000198778,LV7008960518,LV7008960518-LV6000198778-LV3005274896,246
65,ISL22_48.6,LV3005274896,LV6000198778,LV7008960518,LV7008960518-LV6000198778-LV3005274896,246
66,ISL22_48.6,LV3005274889,LV6000198786,LV7008960530,LV7008960530-LV6000198786-LV3005274889,249
67,ISL22_48.6,LV3005274889,LV6000198786,LV7008960530,LV7008960530-LV6000198786-LV3005274889,249
68,ISL22_48.6,LV3005274862,LV6000198794,LV7008960445,LV7008960445-LV6000198794-LV3005274862,251.5
69,ISL22_48.6,LV3005274862,LV6000198794,LV7008960445,LV7008960445-LV6000198794-LV3005274862,251.5
70,ISL22_48.6,LV3005274877,LV6000198802,LV7008960457,LV7008960457-LV6000198802-LV3005274877,255
71,ISL22_48.6,LV3005274877,LV6000198802,LV7008960457,LV7008960457-LV6000198802-LV3005274877,255
72,ISL22_48.6,LV3005274861,LV6000198810,LV7008960469,LV7008960469-LV6000198810-LV3005274861,258
73,ISL22_48.6,LV3005274861,LV6000198810,LV7008960469,LV7008960469-LV6000198810-LV3005274861,258
74,ISL22_48.6,LV3005274876,LV6000198818,LV7008960481,LV7008960481-LV6000198818-LV3005274876,260.5
75,ISL22_48.6,LV3005274876,LV6000198818,LV7008960481,LV7008960481-LV6000198818-LV3005274876,260.5
76,ISL22_48.6,LV3005274860,LV6000198779,LV7008960493,LV7008960493-LV6000198779-LV3005274860,263.5
77,ISL22_48.6,LV3005274860,LV6000198779,LV7008960493,LV7008960493-LV6000198779-LV3005274860,263.5
78,ISL22_48.6,LV3005274875,LV6000198787,LV7008960505,LV7008960505-LV6000198787-LV3005274875,266
79,ISL22_48.6,LV3005274875,LV6000198787,LV7008960505,LV7008960505-LV6000198787-LV3005274875,266
80,ISL22_48.6,LV3005274859,LV6000198795,LV7008960517,LV7008960517-LV6000198795-LV3005274859,269
81,ISL22_48.6,LV3005274859,LV6000198795,LV7008960517,LV7008960517-LV6000198795-LV3005274859,269
82,ISL22_48.6,LV3005274873,LV6000198803,LV7008960529,LV7008960529-LV6000198803-LV3005274873,272
83,ISL22_48.6,LV3005274873,LV6000198803,LV7008960529,LV7008960529-LV6000198803-LV3005274873,272
84,ISL22_48.6,LV3005274857,LV6000198811,LV7008960444,LV7008960444-LV6000198811-LV3005274857,274.5
85,ISL22_48.6,LV3005274857,LV6000198811,LV7008960444,LV7008960444-LV6000198811-LV3005274857,274.5
86,ISL22_48.6,LV3005274872,LV6000198819,LV7008960456,LV7008960456-LV6000198819-LV3005274872,277
87,ISL22_48.6,LV3005274872,LV6000198819,LV7008960456,LV7008960456-LV6000198819-LV3005274872,277
88,ISL22_48.6,LV3005274858,LV6000198780,LV7008960468,LV7008960468-LV6000198780-LV3005274858,280
89,ISL22_48.6,LV3005274858,LV6000198780,LV7008960468,LV7008960468-LV6000198780-LV3005274858,280
90,ISL22_48.6,LV3005274871,LV6000198655,LV7008960480,LV7008960480-LV6000198655-LV3005274871,287.5
91,ISL22_48.6,LV3005274871,LV6000198655,LV7008960480,LV7008960480-LV6000198655-LV3005274871,287.5
92,ISL22_47,LV3005274496,LV7005365953,LV7008955265,LV7008955265-LV7005365953-LV3005274496,67
93,ISL22_47,LV3005274481,LV7005365961,LV7008955277,LV7008955277-LV7005365961-LV3005274481,71.5
94,ISL22_46,LV3005274562,LV6000198601,LV7008955286,LV7008955286-LV6000198601-LV3005274562,57
95,ISL22_36,LV3005275107,LV7005365980,LV7008955335,LV7008955335-LV7005365980-LV3005275107,70
96,ISL22_52,LV3005351350,LV6000198593,LV7008955274,LV7008955274-LV6000198593-LV3005351350,66
97,ISL22_21,LV3005350676,LV6000198603,LV7008955345,LV7008955345-LV6000198603-LV3005350676,85.5
98,ISL22_53,LV3005350543,LV6000198611,LV7008955369,LV7008955369-LV6000198611-LV3005350543,46
99,ISL22_17,LV3005350267,LV6000198619,LV7008955260,LV7008955260-LV6000198619-LV3005350267,65
100,ISL22_40.4,LV3005350770,LV6000200096,LV7008960500,LV7008960500-LV6000200096-LV3005350770,35
101,ISL22_40.4,LV3005350784,LV6000200088,LV7008960512,LV7008960512-LV6000200088-LV3005350784,38
102,ISL22_40.4,LV3005350792,LV6000200127,LV7008960524,LV7008960524-LV6000200127-LV3005350792,42.5
103,ISL22_40.4,LV3005350786,LV6000200119,LV7008960536,LV7008960536-LV6000200119-LV3005350786,45.5
104,ISL22_40.4,LV3005350771,LV6000200111,LV7008960451,LV7008960451-LV6000200111-LV3005350771,48.5
105,ISL22_40.4,LV3005350788,LV6000200103,LV7008960463,LV7008960463-LV6000200103-LV3005350788,52
106,ISL22_40.4,LV3005350773,LV6000200095,LV7008960475,LV7008960475-LV6000200095-LV3005350773,55
107,ISL22_40.4,LV3005350781,LV6000200087,LV7008960487,LV7008960487-LV6000200087-LV3005350781,58
108,ISL22_40.4,LV3005350807,LV6000200126,LV7008960499,LV7008960499-LV6000200126-LV3005350807,61
109,ISL22_40.4,LV3005350800,LV6000200118,LV7008960511,LV7008960511-LV6000200118-LV3005350800,64
110,ISL22_40.4,LV3005350808,LV6000200110,LV7008957410,LV7008957410-LV6000200110-LV3005350808,67
111,ISL22_40.4,LV3005350796,LV6000200102,LV7008960535,LV7008960535-LV6000200102-LV3005350796,70.5
112,ISL22_40.4,LV3005350809,LV6000200094,LV7008960450,LV7008960450-LV6000200094-LV3005350809,73.5
113,ISL22_40.4,LV3005350797,LV6000185100,LV7008960462,LV7008960462-LV6000185100-LV3005350797,77.5
114,ISL22_40.4,LV3005350804,LV6000200125,LV7008960474,LV7008960474-LV6000200125-LV3005350804,80.5
115,ISL22_40.4,LV3005350810,LV6000200117,LV7008960486,LV7008960486-LV6000200117-LV3005350810,83.5
116,ISL22_40.4,LV3005350805,LV6000200109,LV7008960498,LV7008960498-LV6000200109-LV3005350805,87
117,ISL22_40.4,LV3005350824,LV6000200101,LV7008960510,LV7008960510-LV6000200101-LV3005350824,89.5
118,ISL22_40.4,LV3005350812,LV6000200093,LV7008960522,LV7008960522-LV6000200093-LV3005350812,93
119,ISL22_40.4,LV3005350799,LV6000200085,LV7008960534,LV7008960534-LV6000200085-LV3005350799,96
120,ISL22_40.4,LV3005350870,LV6000200124,LV7008960449,LV7008960449-LV6000200124-LV3005350870,99
121,ISL22_40.4,LV3005350882,LV6000200116,LV7008960461,LV7008960461-LV6000200116-LV3005350882,102
122,ISL22_40.4,LV3005350869,LV6000200108,LV7008960473,LV7008960473-LV6000200108-LV3005350869,105
123,ISL22_40.4,LV3005350868,LV6000200100,LV7008960485,LV7008960485-LV6000200100-LV3005350868,108
124,ISL22_40.4,LV3005350862,LV6000200092,LV7008960497,LV7008960497-LV6000200092-LV3005350862,110
125,ISL22_40.4,LV3005350880,LV6000200084,LV7008960509,LV7008960509-LV6000200084-LV3005350880,114
126,ISL22_40.4,LV3005350867,LV6000200123,LV7008960521,LV7008960521-LV6000200123-LV3005350867,117
127,ISL22_40.4,LV3005350879,LV6000200115,LV7008960533,LV7008960533-LV6000200115-LV3005350879,120
128,ISL22_40.4,LV3005350866,LV6000200107,LV7008960448,LV7008960448-LV6000200107-LV3005350866,123
129,ISL22_40.4,LV3005350878,LV6000200099,LV7008960460,LV7008960460-LV6000200099-LV3005350878,126.5
130,ISL22_40.4,LV3005350865,LV6000200091,LV7008960472,LV7008960472-LV6000200091-LV3005350865,129.5
131,ISL22_40.4,LV3005350877,LV6000185139,LV7008960484,LV7008960484-LV6000185139-LV3005350877,132.5
132,ISL22_40.4,LV3005351152,LV6000200122,LV7008960496,LV7008960496-LV6000200122-LV3005351152,136
133,ISL22_40.4,LV3005351159,LV6000200114,LV7008960508,LV7008960508-LV6000200114-LV3005351159,139
134,ISL22_40.4,LV3005351142,LV6000200106,LV7008960520,LV7008960520-LV6000200106-LV3005351142,142
